"key","es","en"
"btn_promote_st1","Promover a ST1","Promote to ST1"
"btn_delete_records","Eliminar Registros","Delete Records"
"btn_export_csv","Exportar CSV","Export CSV"
"sel_field_records","Registros de Campo — field_captures","Field Records — field_captures"
"cross_sidebar_config","Configuración","Configuration"
"cross_available_evals","Evaluaciones Disponibles","Available Evaluations"
"cross_pool_mothers","Pool de Madres:","Mothers Pool:"
"cross_plan_mode","Modo de Planificación:","Planning Mode:"
"cross_operative_sync","Operativo (Sincronización Floral)","Operative (Floral Synchronization)"
"cross_adapt_filters","Filtros de Adaptación","Adaptation Filters"
"cross_target_soil","Tipo de Suelo Objetivo:","Target Soil Type:"
"cross_model_weights","Pesos del Modelo","Model Weights"
"cross_max_inbreeding","Máxima Consanguinidad (F):","Max Inbreeding (F):"
"cross_weight_diversity","Peso: Diversidad (1-F)","Weight: Diversity (1-F)"
"cross_weight_value","Peso: Valor (FACTOR)","Weight: Value (FACTOR)"
"cross_security","Seguridad","Security"
"cross_skip_f_calc","Omitir cálculo de F","Skip F calculation"
"cross_top_n","Top N cruces:","Top N crosses:"
"btn_simulate_crosses","Simular Cruzamientos","Simulate Crosses"
"btn_export_summary","Exportar Resumen","Export Summary"
"cross_field_tools","Herramientas de Campo","Field Tools"
"cross_polycross_start","Nº Inicial Policruce:","Initial Polycross No:"
"btn_field_sheet","Hoja de Montaje","Assembly Sheet"
"cross_recommendations","Recomendaciones de Mejoramiento","Breeding Recommendations"
"tab_biparental","Biparentales","Biparentals"
"btn_register_biparental","Registrar Biparentales Seleccionados","Registrar Biparentals Seleccionados"
"btn_view_radar","Ver Análisis (Radar)","View Analysis (Radar)"
"tab_polycross","Policruces","Polycrosses"
"cross_polycross_note","El sistema utiliza un ratio de 1:2 en FLORES (mínimo 2 flores por hembra).","The system uses a 1:2 ratio for FLOWERS (minimum 2 flowers per female)."
"btn_register_polycross","Registrar Policruces Seleccionados","Registrar Polycrosses Seleccionados"
"tab_cross_registry","Registro de Cruces","Cross Registry"
"cross_register_executed","1. Registrar Cruce Ejecutado","1. Register Executed Cross"
"lbl_cross_date","Fecha del Cruce","Cross Date"
"lbl_cross_type","Tipo de Cruce:","Cross Type:"
"lbl_fuzz_grams","Gramos cosechados (Fuzz):","Harvested grams (Fuzz):"
"lbl_notes_optional","Notas (opcional):","Notes (optional):"
"btn_save_cross","Guardar Cruce","Save Cross"
"cross_registered_list","2. Cruces Registrados","2. Registered Crosses"
"btn_delete_selected","Eliminar Seleccionados","Delete Selected"
"btn_cross_sheet","Hoja de Cruces","Cross Sheet"
"tab_genetic_params","Parámetros Genéticos","Genetic Parameters"
"cross_smith_hazel_config","Configuración de Índice de Selección (Smith-Hazel)","Selection Index Configuration (Smith-Hazel)"
"cross_heritabilities","Heredabilidades (h²)","Heritabilities (h²)"
"lbl_tonnage","Tonelaje (Y):","Tonnage (Y):"
"lbl_quality","Calidad (Q):","Quality (Q):"
"lbl_health_resistance","Sanidad (Resistencia):","Health (Resistance):"
"cross_economic_weights","Pesos Económicos ($)","Economic Weights ($)"
"cross_imp_tonnage","Imp. Tonelaje:","Imp. Tonnage:"
"cross_imp_quality","Imp. Calidad:","Imp. Quality:"
"cross_imp_health","Imp. Sanidad:","Imp. Health:"
"cross_params_note","Nota: Estos parámetros definen cómo se combinan Y y Q para el Valor Agroeconómico.","Note: These parameters define how Y and Q combine for Agro-economic Value."
"mgr_top_families","Top 10 Familias Exitosas","Top 10 Successful Families"
"mgr_genetic_trend","Tendencia Genética Anual (Brix & Vigor)","Annual Genetic Trend (Brix & Vigor)"
"mgr_brix_vigor_matrix","Matriz Brix vs. Vigor — Selección Élite","Brix vs. Vigor Matrix — Elite Selection"
"mgr_disease_incidence","Incidencia de Enfermedades a Nivel Programa","Disease Incidence at Program Level"
"mgr_title","Panel Gerencial — Centro de Mando","Managerial Dashboard — Command Center"
"btn_export_pdf","Exportar Reporte PDF","Export PDF Report"
"mgr_global_filters","Filtros Globales","Global Filters"
"lbl_eval_year","Año de Evaluación:","Evaluation Year:"
"lbl_program","Programa:","Program:"
"lbl_soil_type","Tipo de Suelo:","Soil Type:"
"btn_apply_filters","Aplicar Filtros","Apply Filters"
"mgr_funnel_chart","Embudo de Selección y Tasa de Promoción","Selection Funnel and Promotion Rate"
"trz_title","Explorador de Trazabilidad Genética","Genetic Traceability Explorer"
"lbl_clone_id","ID del Clon / Variedad:","Clone / Variety ID:"
"btn_trace_history","Rastrear Historia","Trace History"
"trz_origin","Origen (Pedigrí)","Origin (Pedigree)"
"trz_current_status","Estatus Actual","Current Status"
"trz_progress","Progreso Real en el Pipeline de Selección","Actual Progress in Selection Pipeline"
"trz_offspring","Hijos (Cruces donde es progenitor)","Offspring (Crosses where is progenitor)"
"trz_analytics","Analítica Clonal de Cosecha","Harvest Clonal Analytics"
"btn_send","Enviar","Send"
"btn_clear_chat","Limpiar Chat","Clear Chat"
"ast_context","Contexto del Sistema:","System Context:"
"ast_title","Asistente IA de Mejoramiento","AI Breeding Assistant"
"arch_title","Gestor Integral de Archivos","Comprehensive File Manager"
"arch_upload","Subir Archivos Genéticos / Fenotípicos","Upload Genetic / Phenotypic Files"
"arch_viewer","Visualizador Integral de Datos","Integral Data Visualizer"
"arch_sync_all","Sincronizar Todas las Carpetas","Sync All Folders"
"arch_download_all","Descargar Datos Consolidados","Download Consolidated Data"
"tab_dashboard","Panel","Dashboard"
"tab_archivo","Archivos","Files"
"tab_asistente","Asistente IA","AI Assistant"
"tab_trazabilidad","Trazabilidad","Traceability"
"tab_gerencial","Gerencial","Managerial"
"nav_subtitle"," — Sistema de Mejoramiento"," — Breeding System"
"btn_dark_mode","🌙 Modo Oscuro","🌙 Dark Mode"
"nav_sidebar_title"," Panel de Control"," Control Panel"
"sidebar_sync"," Sincronizar Sistema"," Sync System"
"sidebar_varieties"," Variedades: "," Varieties: "
"sidebar_parentage"," Parentesco: "," Parentage: "
"sidebar_performance"," Rendimiento: "," Yield: "
"sidebar_health"," Sanidad: "," Health: "
"nav_home","Inicio","Home"
"nav_genetics","Genética","Genetics"
"nav_cross_suggest","Modo Cruzamientos","Crosses Mode"
"nav_fuzz_bank","Banco de Fuzz","Fuzz Bank"
"nav_floracion","Gestión de Floración","Flowering Management"
"nav_genealogy_viewer","Visor de Genealogía","Genealogy Viewer"
"nav_variety_status","Estado de Variedad","Variety Status"
"nav_campaign","Campaña","Campaign"
"nav_capture_analytics","Captura de Campo y Analítica","Field Capture & Analytics"
"nav_phytopathology","Fitopatología y Sanidad","Phytopathology & Health"
"nav_success_dashboard","Dashboard de Éxito","Success Dashboard"
"nav_mgmt_panel","Panel Gerencial","Managerial Panel"
"nav_intelligence","Inteligencia Analítica","Analytical Intelligence"
"nav_admin","Administración","Administration"
"nav_field_assistant","Asistente de Campo","Field Assistant"
"nav_master_files","Archivo Maestro y Descargas","Master Files & Downloads"
"dlg_confirm_sync_title","Confirmar Sincronización","Confirm Sync"
"dlg_confirm_sync_text","¿Seguro que desea cargar datos históricos de Excel al sistema? (Esta operación puede tardar)","Are you sure you want to load historical data from Excel? (This may take a while)"
"btn_cancel","Cancelar","Cancel"
"btn_sync","Sincronizar","Sync"
"msg_syncing","Sincronizando Archivos Excel...","Syncing Excel Files..."
